Genes	c1	c2	c3	p1	p2	p3	p4
Gm1840	25.81360695	58.14326714	13.35132984	0	24.92712488	39.25370149	18.89977614
2410015M20Rik	87.47191935	120.1012203	81.95840106	62.72191431	87.30556734	84.5052022	97.48986033
Pmis2	0	0	0	0	0	0	0
Gm43348	0	0	0	0	0	0	0
Zfp280b	2.873280756	1.528280244	0	0	1.332727745	2.725742707	3.351000158
Gm42637	0	0	0	0	0	0	0
Kcnj3	0.154302712	0.271858227	0.327733517	0	0.538537401	0.885194547	0.843092489
Dnm1	4.572174008	4.634279411	3.918898718	0.03955785	1.496752887	2.948521993	3.6772047
Nr4a2	0.065147111	1.798067184	1.739386574	0.083598054	1.028016148	3.174351744	3.351642761
Gpd2	5.93677697	3.01730275	4.972579148	0	4.253879499	8.722421272	3.143107781
Ptges2	7.536514623	6.744351307	15.17570904	0.091823652	6.731564639	5.829609625	8.503130328
Ralgds	4.814859283	6.482100443	7.990535074	0	5.9799868	8.069441281	5.927860048
Lcn2	0.085171782	0.025001553	0.051672933	0.655985211	5.841198714	0	0
Galnt5	0	0	0.463987146	0	0	0	0
Gbgt1	0	0	0.241432828	0	0	0	0
Smco1	0	0	1.07187182	0	0	0	0
Tgfbr3	0.884519303	1.496090475	1.384919924	0	5.637336574	6.075584852	1.437831537
Smr2	0	0	0	0	0	0	0
Gabrr3	0	0	0	0	0	0	0
Wdr89	9.949715777	9.923275673	9.690827108	13.00424103	14.785378	8.533646148	6.42597932
Thtpa	2.397823539	3.177260836	5.032946837	0	1.984683861	6.300001389	2.436277411
Nlrp4e	0	0	0	0	0	0	0
Rgp1	0.796326536	0.945530546	0.977034494	0.266667639	0.409802453	0.93733353	1.253316238
Npr2	1.584597925	2.958084349	1.408126571	0.217960132	2.782425264	6.186906126	6.97045252
Creb3	30.36886863	22.69630632	24.85011	64.51789286	23.63939551	21.39981749	34.89686975
Gba2	1.118783893	1.512132857	0.878919399	0	1.311653689	2.442067133	1.852763926
Tpm2	0.893605153	0.699752462	17.28596845	0.286802014	4.248853038	3.840095128	1.237636996
Prpf31	8.665357619	10.8385263	7.22012588	0	6.283253485	12.27030434	11.19712811
Car9	0	0	0	0.142533337	0	0	0
Sit1	0	0.061362864	3.424861881	0	0	0	0
Ccdc107	35.69405602	22.79302817	24.91693714	39.64401732	22.19240766	34.50471638	23.57109668
Gm37035	4.56682028	3.059857419	7.845962734	0	1.873983125	8.060036249	8.610583256
Gm37036	0	0	0	0	0	0	0
Pgp	231.7941303	273.2920461	198.1451972	0	179.8094637	253.0748652	220.522278
Gm37038	0	0	0	0	1.120920095	0	0
Gm37039	0	0	0	0	0	0	0
Gpr149	3.114098218	3.368095522	3.676806169	0	9.039348071	5.199211172	1.979533849
Gm37695	0	0	0.949255838	0	0	0	0
Gm37040	0	0	0	0	0.551715427	0.058585923	0
Gm37041	0	0	0	0	0	0	0
Gjc2	3.929948989	0	160.9849516	0	21.91595107	9.737055325	0
Crip1	1.601274179	0.612165776	12.37618351	0	13.97393137	1.706000975	1.114307294
Cbfa2t3	0	0	0.371737969	15.3988843	0	0.078973611	0.011615972
Fbln1	1.555358288	2.817907284	16.42911455	0	17.1536211	25.37821353	3.988675951
S100a13	315.7430494	471.7028473	178.012143	74.41669114	379.3145377	191.4691579	277.6842636
Mki67	0.287983544	2.681924595	18.05088519	0.052797461	2.646958097	8.698103875	12.63509449
Zfp444	7.201303054	11.13980307	9.859168804	0.073542709	3.826134628	11.52475627	12.17235724
4930528G23Rik	0	0.14131611	0	0	0	0	0
C79798	0	0	0	0	0	0	0
Gm14505	0	0	0	0	0	0	0
Gm13794	0	0	0	0	0	0	0
Gm12081	0	0	0	0	0	0	0
Gm14827	0	0	0.895726409	0	0	0.103781861	0.580433883
Gm281	0	0	0.100196083	0	0	0	0
Gm13266	0	0	0	0	0	0	0
En2	0	0	0	0	0	0	0
Fancl	15.07341157	11.10545822	5.876220297	0	13.17013179	8.548556236	12.2111469
Rhox4c	0	0	0	0	0	0	0
4930556L07Rik	0	0	0	0	0	0	0
Rhox2c	0	0	0	0	0	0	0
Rhox3c	0	0	0	0	0	0	0
Rhox4f	0	0	0	0	0	0	0
Rhox4d	0	0	0	0	0	0	0
Gm15943	0.180800288	0.127415016	0.526642532	0	1.251048269	0.251726744	0.222264374
Nr2e3	0	0	0	0	0	0	0
Nfe2l2	5.601157275	18.93042058	15.26422531	93.60915897	35.73009369	18.09324436	15.90397253
Ptpn9	6.270790999	11.55887309	8.748629402	0	8.626142302	14.12982616	8.170246682
Crabp1	0	0	0	0	0	0	0
Rhox4a	0	0	0	0	0	0	0
Celf6	0	0	0.3589696	0	0	0.529774374	0
Pkm	375.4128227	599.2472099	142.1258183	268.8039677	232.6131457	377.9719232	366.0961562
Man2c1	1.451674291	2.257354416	4.695211959	0	1.121456853	3.811013339	2.005530744
Ctla2a	0	0	23.08372527	0	1.465883377	0.934035002	0.13746367
Gm13859	0	0	0	0	0	0	0
Osbpl1a	6.787935942	10.23818455	10.22191099	0	13.92687854	8.483350883	4.227495564
Pced1b	0	3.045612509	2.346023433	0	0.228977763	0.14585176	2.060743585
Pcsk9	0	0	0	0	0	0	0
Mrps25	15.87891074	20.39710427	15.90706367	0	16.35967314	9.711440864	19.27778192
Abce1	45.47415382	52.92437953	27.44302763	2.093145368	26.92029781	22.31013281	35.58800715
Krt6a	0	0	0	0	0	0	0
Smim4	5.658853174	10.11142477	4.956926476	26.11047942	9.429597522	7.1852349	8.678102243
Olfr1023	0	0	0	0	0	0	0
Opalin	0	0	40.09842619	0	0	3.023538906	0
Vwa3b	0	1.578916322	0	0	0	0	0.164783473
Slfn4	0	0	0	0	0	0.017018749	0
Gm13362	0	0	0	0	0	0	0
Gm12415	0	0	0	0	0	0	0
Gm14236	0	0	0	0	0	0	0
Gm16158	0	0	0	0	0	0	0
Gm12996	0	0	0	0	2.768885716	0	0
Gm14002	0	0	0	0	0	0	0
Gm15645	0.236361707	0	0	0	0	0.152353468	0.053817399
Setmar	0	4.572842261	5.372550228	0	6.733161866	7.700370145	0.874186486
Mrgprh	0	0	0	0	0	0	0
Ppp2r5d	36.92497857	50.5821484	25.01633689	0.363774981	16.68065508	34.88065985	38.08792776
Tmprss9	0	0.278440249	0.215784318	0	0.503577728	0.213933785	0.10794259
Mamld1	3.674519018	8.696887898	5.61949553	0.283039009	1.650462235	9.891163787	5.420969735
Olfr1049	0	0	0	0	0	0	0
Olfr1048	0	0	0	0	0	0	0
Olfr1047	0	0	0	0.554098349	0	0	0
Olfr1046	0	0	0	0	0	0	0
Olfr1054	0	0	0	0	0	0	0
Olfr1053	0	0	0	0	0	0	0
Olfr1051	0	0	0	0	0	0	0
Olfr1045	0	0	0	0	0	0	0
Olfr52	0	0	0	0	0	0	0
Trem3	0	0	0	0	2.531137826	0	0
Plekha6	0.64657958	0.701047966	1.118954694	0	0.362268067	1.242100922	1.295730663
Cd1d2	0.242374417	0.640595757	0.220660348	0	0.441372341	1.359326805	1.034725054
Hs3st3a1	0	0	0.191570896	0	0.319364179	0	0
Fancb	3.481903102	1.411005087	0.697303145	0	0.887671355	3.016485584	5.422187628
Utf1	0	0	0	0	0	0	0
Dcun1d1	6.482878623	7.713186217	1.830483222	0	6.941894878	4.026253907	5.300530801
Chd9	10.04280161	2.849265606	16.23589394	111.5608179	5.356073433	8.828784328	11.98172989
Sec62	54.19873091	46.97580947	55.90585095	21.47262963	103.2722663	59.66115073	75.39878829
Gm10000	0	0	0	0	0	0	0
Krt72	0	0	0	0	0	0	0
Lrrc3	0	0	0	3.467983646	0	0	2.811623946
Lrrc34	0	4.376783279	0	0	1.729578729	0	1.74657165
Lrriq4	0	0	0	0	0	0	0
Olfr90	0	0	0	0	0	0	0
Heatr6	4.396600361	3.544169591	9.688839764	3.399447634	4.574847688	5.593638274	4.03478569
Lgals8	10.10226437	11.06017215	3.561523236	6.128165067	9.88906753	8.051382645	8.844239554
Zfp317	10.68028273	4.871180106	5.171411132	0	3.862007987	12.83142872	15.93446414
Lpcat3	9.852587292	3.714164145	6.937019931	0.086803919	12.8913152	8.894212419	5.990209914
Havcr1	0	0	0	0	0	0	0
B230307C23Rik	0.688648313	0.734374106	0.791844781	0	2.969901596	0.756936591	2.45072989
Hist3h2bb-ps	0.594208248	0.523629372	0.54084337	0	1.082350802	0.459616012	0.202842356
Olfr1174-ps	0	0	0	0	0	0	0
F730035M05Rik	0	0	0	0	0	0	0
Gm12853	0	0	0	0	0	0	0
Rhox7-ps1	0	0	0	0	0	0	0
4930430E12Rik	0	0	0	0	0	0	0
Gm11651	0	0	0	9.614190948	0	0	0
Gm37397	0.048636252	0.042815819	0.088491262	0	0	0.488842639	0
Gm28041	0	0	0.322839753	0	0	0	0.121080482
Fau-ps1	0	0	0	0	0	0	0
Phgr1	0	0	0	0	0	0	0
Mpeg1	0	0	1.189517764	9.082787086	2.553604528	0	2.046203271
3110062M04Rik	1.349585652	1.411015987	2.95657849	0	0.756150984	1.617505358	1.083838406
Lrrc75b	0.750716774	2.698284512	0.519378532	0	0	4.459700869	2.891867829
Gm15641	0	0	0	0	0	0	0
Skint1	0	0	0	0	0	0	0
Gm16311	0	0	0	0	0	0	0
Gm15684	0	0	0	0	0	0	0
Gm16270	0	0	0	0	0	0	0
Slc5a3	3.032933477	3.683122821	4.399839989	3.769328009	4.554681664	3.6639018	3.86241969
Insig2	5.588565107	8.575442725	5.419809995	0	4.09055719	7.388370718	5.151720232
H2afy	22.62559585	26.99822625	23.45068688	0	18.89655297	21.45441012	17.68977455
Dstn	300.3986364	679.9003663	186.1862262	15.87038887	401.4056168	234.3758351	249.8133393
Tgfbr1	3.511181469	1.43991948	2.052764047	210.6988732	8.295250976	5.970394753	10.1507931
Gtpbp3	0.978535969	1.155509621	0.947636645	0.160398673	0.45494075	1.787606099	0.483490852
Homer1	1.070056081	1.899080869	0.860312346	0	1.251596696	0.555825517	1.520381428
Gm15319	0.328675855	0	0	0	0	0.508497247	0.59865453
Tmprss11d	0	0	0	0	0	0	0
Kcnq1	0.091306402	0	0	0	0.055428758	0.047075208	0.020775704
Srp14	83.99439595	106.28705	67.959101	51.92677063	52.82561726	60.95249154	69.20910012
Vmn2r-ps2	0	0	0	0	0	0	0
Gm6207	0	0	0	0	0	0	0
Tmem235	0	0	0	0	0	0	0
Gm42750	0	0	0	0	0	0	0
Gm12905	0.294884563	0.51958674	2.281800641	0	5.907084113	1.48270094	4.53196914
Gm12409	0	0	0	0	0	0	0
Spin2-ps4	0	0	0	0	0	0	0
Gm12829	0	0	2.583614123	0	0	0.834246714	0
Gm14346	0	0	0	0	0	0	0
Gm11505	0	0	0	0	0	0	0
Gm42608	0	0	1.433421686	0	0	0	2.805718589
Obox4-ps6	0	0	0	0	0	0	0
Gm20821	0	0	0	0	0	0	0
Gm12823	0	0	0	0	0	0	0
Defa22	0	0	0	0	0	0	0
Vmn1r50	0	0	0	0	0	0	0
Ighd3-2	0	0	0	0	0	0	0
Gm5415	0.612523221	1.348996329	1.149999534	0	2.02159854	0.177685154	1.359653543
Defa-rs7	0	0	0	0	0	0	0
Sprr2a3	0	0	0	0.149335883	0	0	0
Gm17490	0	0	0	0	0	0	0
Fth-ps2	0	0.707694218	5.362207128	0	3.900499761	2.071140722	1.645876301
Arhgef3	34.95473548	23.56179018	12.87515261	0	21.75499319	30.85369027	14.16135027
RP23-235M8.6	0	0	0	0	0	0	0
Gm20677	3.733876154	0	0	0	0	10.10913178	1.275254182
Vmn1r-ps47	0	0	0	0	0	0	0
RP23-185A21.1	0	0	0.090075991	0	0	0.153095591	0
Sh2d1b2	0	0	0	0	0	0	0
RP23-174D7.4	0	0	0	0	0	0	0
RP24-138O17.3	0	0	0	0	0	0	0
RP24-63G4.13	0	0	0	0	0	0	0
Cradd	10.29935306	5.311121185	3.125187579	0	7.013885724	7.318954862	7.94954319
Gvin1	0	0	0	0	0	0	0
Gm28074	0	0	0	0	0	0	0
Vmn1r-ps144	0	0	0	0	0	0	0
1700120G07Rik	1.78417781	0	0	0	0	0	0
Gm28550	0	0	0	0	0	0	0
Gm29461	0	0	0	0	0	0	0
Gm29197	0	0	0	0	0	0	0
Ifna7	0	0	0	0	0	0	0
Gm28446	0	0	0	0	0	0	0
Gm7168	0	0	0	0	0	0	0
Zfp160	19.27920798	11.10863264	3.251231898	0	7.300034757	3.833889453	12.94378696
Gm28786	0	0	0	0	0	0	0
Gm21717	0	0	0	0	0	0	0
Ighv1-7	0	0	0	0	0	0	0
Vmn1r91	0	0	0	0	0	0	0
Gm17404	0	0	0	0	0	0	0
CR974586.1	0	0	0	0	0	0	0
Ighv1-52	0	0	0	0	0	0	0
Gm28565	0	0	0	0	0	0	0
Gm29176	0	0	0	0	0	0	0
Gm28589	0	0	0	0	0	0	0
Gm20903	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0
Gm29537	0	0	0	0	0	0	0
Vmn1r192	0	0	0	0	0	0	0
Gm2956	0.066135995	0.291165232	0	0	0	0	0
Ighv1-71	0	0	0	0	0	0	0
Ceacam16	0	0	0	0	0	0	0
Gm28494	0	0	0	0	0	0	0
Ercc1	12.93802814	15.75567628	14.25564501	23.44754601	13.11231574	12.33986508	10.61608181
Zfp207	37.76048374	28.992968	29.14376651	0.832688226	34.73159895	29.44719367	35.08366923
Gm28795	0	0	0	0	0	0	0
Rhoay-ps1	0	0.209436418	0.216430437	0	0.433126612	0.183925512	0.16234371
Gm29425	0	0	0	0	0	0	0
Gm29363	0	0	0	0	0	0	0
Psmd11	20.43075841	21.00210759	9.165236001	0	15.60697278	13.36262627	15.66207704
Gm28826	0	0	0	0	0	0	0
Gm29179	0	0	0	0	0	0	0
Gm28932	1.547937453	5.79578056	1.409259367	0	0	1.796262526	1.586030411
3110031N09Rik	0	0	0	0	0	0	0
Gm43282	0	0	0	0	0	0	0
Gm42733	3.46062667	0.7036035	1.696230915	0	0.484868134	4.118337621	2.181937791
Gm42896	0	0	0	0	0	0	0
Gm43500	0	0	0	0	0	0	0.604928266
Krt15	0	0	0	0	0	0	0
Eef1a1	145.6412407	194.4977284	92.6249561	471.9038763	156.7862197	104.540513	73.69485342
Mrps26	13.93568249	14.57401238	21.04400388	0	14.88937203	13.38500997	16.29032854
Vmn1r236	0	0	0	0	0	0	0
Olfr24	0	0	0	0	0	0	0
4833422C13Rik	3.496970647	2.132756184	4.445357747	0	2.147747342	5.986125116	2.656983164
Ier3	6.352256932	22.92208634	64.49717911	147.7215131	79.1905942	134.934035	12.18150382
Gm29123	0	0	0	0	0	0	0
Gm28178	0	0	0	0	0	0	0
Gm29629	0	0	0	0	0	0.553682501	0
Pinc	0	0	0	0	0	0	0
Gm29650	0	1.148278965	0	0	0	0	0.890208292
Gm21742	0	0	0	0	0	0	0
Mst1r	0	0	0	0	0.096853488	0	0
Gm28452	0	0	0	0	0	0	0
1700074H08Rik	0.249052665	0	0	0	0	0	0
Gm29021	0	0	0	0	0	0	0
Gm29149	0	0	0	0	0	0	0
Gm9239	0	0	0	0	0	0	0
Gm6866	0	0	0	0	0	0	0
Gm29032	0	0	0	0	0	0	0
Gm28274	0	0	0	0	0	0	0
Gm28809	0	0	0	22.34337991	0	0	0.460739193
Gm29122	0	0	0	0	0	0	0
Gm21849	0	0	0	0	0	0	0
Zan	0	0	0.005912177	0	0.070977576	0.060295738	0.008873836
Gm13941	0	0	0	0	0	0	0
Gm13942	0	0	0	0	0	0	0
Rbm5	13.43713075	6.448891396	10.67262735	0.156004793	6.617642571	12.7527816	10.92066559
Gm3054	0	0	0	0	0	0	0
Gm11060	0	0	0	0	0	0	0
Rab10os	3.051215455	4.422570497	3.639538999	0.057869279	3.311796054	3.348403412	3.726556955
Fam163a	3.487863131	11.56936126	0	0	0.907336408	0.330352926	0.802171399
AA386476	0.74681776	1.023451041	0	10.86522583	0.302278152	0	1.530220129
Anapc15-ps	6.162270824	6.285801724	3.247533894	0	7.086823509	2.508705664	5.759377508
Cacfd1	10.46577722	7.304573232	8.008258461	0	2.178888953	6.322506889	4.673362893
Fam217b	5.54879401	3.026012121	0.160348016	1.017527256	1.496876874	2.270927484	3.168233432
1110001J03Rik	58.42585688	71.73504059	55.11249685	0	60.90482721	38.42514681	48.67662037
Ifit1bl2	0	0.05548013	0	0	0	0.487105111	0.100354687
Ube2n	83.91591159	94.12157817	47.74733042	12.15868888	66.17936317	55.11395676	73.58570691
Myo9a	2.508112273	4.988674465	4.851694919	0	4.42443791	3.372371182	3.800837524
Mdc1	1.051893292	0.063908214	0.693397951	0	1.221922684	1.066175456	1.486451299
Wdr77	6.571848472	2.342716482	1.711247623	4.826375096	4.870309585	2.021549309	5.323695606
Gabra2	1.556544794	0.544862466	0.760081543	0	2.29004093	2.591418074	1.985448613
Atp5f1	71.47857425	102.5872356	43.84884028	0.367514147	70.59706928	38.55144438	63.58364119
Adora3	0	0	0	0	0	0	0.269513524
Heatr1	7.164872304	4.617542002	3.328449446	0	1.616426879	1.831025669	5.947444066
Sox9	0.768498438	13.15739499	1.581622477	0	2.494543155	15.09359988	2.396203378
Evc2	0.208743889	0.404555301	4.655308912	0	2.166567307	1.501580251	1.525462848
Myo1a	0	0	0	0	0	0	0
Prl3c1	0	0	0	0	0	0	0
Gak	1.363907727	3.17001387	5.270113878	0.055863728	4.491663846	7.699311391	2.913609901
Rapgef2	2.243273191	1.374184515	2.934622908	0	3.354485129	2.143144983	4.885679031
Gm28211	0	0	0	0	0	0	0
Abcd1	2.824785349	3.599415602	4.247424391	71.6821744	0.964456235	6.301397408	5.202309187
Pir	4.273511165	6.051171035	0.916544955	0	1.018561974	1.747991168	2.07832987
Pik3r1	17.64960307	11.24465277	13.80512573	37.38813437	14.61214059	16.11250691	22.56897443
Dicer1	0.995790271	1.606210178	4.685557011	0.053998012	0.561865579	2.59282745	0.862136856
Zrsr2	4.909048323	2.084327834	4.219671787	10.59942639	3.106722137	2.987978091	5.001882493
Haus7	34.16901807	23.62629095	20.42772794	0	13.52618142	14.57592793	23.28420999
Trex2	0	0	0	0	0	0	0
Car5b	0	0.664595022	0	0	0.228973466	0.129681051	1.116408988
Zfp92	0	0	0.050167444	0	0	0	0
Bgn	2.17172638	1.283847677	2.822336406	0.935425944	9.027974655	20.48986716	2.107849951
Atp2b3	2.981079913	2.297911052	1.90480534	0.331190874	1.618100052	1.086427584	1.213833554
Bmx	0	0	2.055977087	0	0	0	0
Gm42480	1.011609777	0.469053259	8.966239234	0	1.454207781	0.082358938	5.163701572
Gm43625	0	0	0	0	0.163513035	0	0.674470299
Gm42543	0	0.344709798	0	0	0	0	0
Gm43272	0	0	0	0	0	0	0
Gm42516	0	0	0	0	0	0	0
4930408K08Rik	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0
Gm37665	0	0	0	0	0	0	0
Gm15101	0	0	0	0	0	0	0
Trav9-2	0	0	0	0	0	0	0
Gm42546	0	0	0	0	0	0	0
Gm21954	8.128060092	0	0	0	0	2.095308288	1.849445014
Gm42645	0	0	0	0	0	0	0
Gm19649	0	0	0	0	0	0	0
Zbtb20	6.108666745	6.068973383	11.16934167	0.92482354	7.092320897	13.77488366	7.496213379
Slc25a41	0	0	0	0	0.302459809	0	0
4930548H24Rik	0	0	0.028722267	0	0	0	0
2610015P09Rik	2.134379873	1.994928127	3.814784949	23.15573965	3.69702341	2.53686279	2.986680557
Rbks	0	4.576267423	7.798360509	0	5.808424268	1.268928615	1.556182799
Fosl2	0	0	0.16252197	52.6213111	0.931963221	0.754944034	0.20323683
Plb1	0	0	0	0	0	0	0
Drd3	0	0	0	0	0	0	0
Qtrtd1	5.246157823	3.621398693	2.173977392	0.075366168	1.604032996	2.96777084	2.246146273
Gbe1	2.440659075	6.777215093	0.974447717	0	2.780965846	2.0203756	2.680829877
Rnf32	2.273040814	4.06206773	2.293807166	0	2.625371658	1.647708875	3.628408625
H2-M10.6	0	0	0	0	0	0	0
Ankrd35	0	0	0	0	1.195192791	0.946166092	0
Camp	0	0	0	0	1.659598285	0	0
Sgsm2	3.201937458	0.842400594	0.487988036	0.055781713	1.02893248	1.972431771	1.217170673
Arl5c	1.717386004	1.408609888	1.078185474	109.0160437	1.941109677	2.565241063	0.080899108
Hus1	4.248030944	0.453019515	3.419254468	0	3.44024408	3.112970782	0.732990436
Ascc2	4.137488977	5.098403122	3.373566687	0	3.235558034	2.591738384	5.079731316
Nipal4	0.802325777	0	17.05410407	0	0	0	0
Tceb3	13.02969407	9.953201259	8.655346314	15.59617876	8.710410329	6.673702185	9.540751318
Pithd1	40.79477766	40.44239401	26.19781796	40.22604028	12.56935728	13.24928325	27.9877749
Pttg1	9.004856802	11.96338528	9.099116181	0	10.66628673	10.41424005	10.66857268
Ephb2	0.14484002	0.099245544	1.179317327	0	0.175829168	0.684664726	0.423189444
Hormad2	0	0	0	0	0.575045108	0	0
Epha8	0	0	0	0	0	1.292503315	0
4930590L20Rik	0	0	0	0	0	0	0
9530022L04Rik	2.228509355	0	0	0	0	0	0
4930509J09Rik	0	0.159559409	0	0	0	0.140053372	1.60779477
Gm32999	0	0	0	0	0	0	0
Gm37043	0	0	0	0	0	0	0
Gm37044	0	0	0	0	0	0	0
Kiss1	0	0	0	0	0	0	0
Ighv8-5	0	0	0	0	0	0	0
Gm37045	0.168303315	0	0	0	0	0	0
RP24-195P20.3	0	0	0	0	0	0	0
RP23-473K6.1	0	0	0	0	0	0.102619132	0
RP23-320B19.2	1.401072192	3.565682298	4.14509317	0	1.559137412	4.485540023	4.492314456
Gm5580	9.332468828	6.970404103	6.463967318	0	11.26786927	8.08191403	6.166295334
RP24-441E15.4	2.32906619	0	0	0	0	0	0
Kansl2-ps	37.16459937	36.65558199	24.10366285	0	17.39228428	24.43163883	24.09185464
Prss33	0	0	0	0	0	0	0
Fastkd1	1.064709757	0.041383751	2.137967936	0.060282685	1.710697119	1.853026969	2.096048599
Acadm	16.07317211	32.85330867	17.64614276	4.386642731	21.97058839	15.2554954	16.063683
Klhl24	9.861301044	6.720374147	4.930668584	0	7.980877697	5.596962036	8.302662387
Tmem158	26.88248465	23.40103086	21.27627846	0	18.44768711	31.59206417	14.60155812
Hdac10	4.311610324	2.04811268	6.156687295	0	3.271349483	5.444035831	3.19025638
Vmn1r32	0	0	0	0	0	0	0
Gm43241	0	0	0	0	0	0	0
Oog1	0	0	0	0	0	0	0
Gm12655	0.866617146	0	0	0	1.35270794	3.926250155	0.33823946
Gm16316	0	0	1.223209053	0	0	0.031494466	0
Cldnd2	0	0	0	0	0	0	0
Rabggtb	9.190760083	12.24659936	7.441477394	0	10.00793455	7.912996318	6.687425634
Rncr4	0	0	0	0	0	0	0
Ppp1r9b	4.869033118	4.516307329	7.434067749	0.595316058	3.424543121	3.447422562	7.460538424
Gm18752	0	0	0	0	0	0	0
4930403D09Rik	0	0	0	0	0.792587595	0	0.4457627
Gm37047	0	0	0	0	0	0	0
Gm37048	0	0	0	0	0	0	0.033836074
A230108P19Rik	0	0	0	9.364622178	0	0	0
4833445I07Rik	0	1.698847206	0.509661086	0	0.339793956	0.384955951	0
Gm12756	0	0	0	0	0	0	0
Slc16a3	0	0	0	0.121646354	0.460036086	0	0
Csnk1d	8.361118786	18.95176367	10.67620925	0	5.51401091	13.84379983	7.51649771
Cd7	0	0	0	0	0	0	0
Sectm1a	0	0	0	0	0	0	0
Ogfod3	55.56046485	16.284281	39.6155101	0	39.04579603	41.99631238	38.38090815
Tada2a	9.045894479	10.83421285	16.56161302	0	10.73466211	13.70598933	6.641188008
Tcaf3	0	0	0	0	0	0	0
Ikzf1	0	0.011218084	0	30.95255856	0.742198904	0	0.608973355
Ppp2r1b	5.418671197	5.179825084	2.886119881	0	4.356242225	3.165858065	1.948917331
Cherp	14.34783972	23.77163114	16.44219778	0.140204116	5.901723909	26.33724167	19.0023573
Rdx	52.71319706	66.1993754	59.78012346	0.219873083	61.74020372	42.93785422	40.05792447
Fdx1	25.3536755	83.5453289	45.28288211	86.51709081	46.75223246	53.24878522	43.62064199
Ube3c	5.190845698	3.988205636	3.786680477	0.09130259	5.265662589	3.135144117	3.909623586
Rps21	21.81999702	26.59634249	14.21220571	105.0397446	47.95374739	14.91380155	17.34420441
Tmem171	0	0	0	0	0	0	0
Cpq	174.5880996	157.9804352	182.7353291	0	200.3008384	259.255623	192.2634804
Btg4	0	0	0	0	0	0	0
4833427G06Rik	0	13.66332709	0	0	1.298488953	1.930518069	0
Gmnc	0	0	0	0	0	0	0
Vmn1r19	0	0	0	0	0	0	0
Smc2	12.61036057	16.42034448	19.66980688	0	8.925358463	15.85962984	22.80543282
Trmt1l	4.57237704	5.45863284	7.25512993	0	4.781720691	6.859774381	4.318643756
Olfr1013	0	0	0	0	0	0	0
Ddx10	12.63473927	8.853830716	5.788088108	0.157937772	7.021709029	8.979875461	7.144641108
Olfr688	0	0	0	0	0	0	0
Riok1	20.03947434	3.903338577	16.82121797	0	17.6954109	15.30609107	7.153046118
Olfr703	0	0	0.393082823	0	0	0	0
Fars2	8.972378648	27.83655222	9.824814205	0	16.69349365	23.38569207	26.33345124
Ly86	14.55068145	0	9.587283098	1757.412133	45.92638913	8.789759626	39.46864472
Mrpl27	42.35904848	45.75586114	30.41535276	0.304833476	42.09916431	42.38052	53.53669955
Npc1	9.912791307	7.536184047	9.168187531	2.852983306	14.11619572	13.05006415	13.09523022
Il31ra	0	0	0	0	0	0	0
Ssr1	20.74058315	17.3296877	21.65083765	21.95558123	17.81594684	22.92204557	28.36227556
3110002H16Rik	12.10330464	5.471485869	11.66203136	27.19003615	7.604307965	5.515960876	6.683392129
Gm14146	0	0	0	0	0	0	0
Gm14260	0	0	0	0	0	0	0
Plcxd3	4.830978728	4.717570705	1.161655045	0	1.369334994	4.248006705	1.291816162
Olfr1258	0	0	0	0	0	0	0
9130015L21Rik	0	0	0	0	0	0	0
Gm14029	0	0	0	0	0	0	0
C330018A13Rik	0	0	0	0	0.471971468	0	0
Gm13165	0	0	0	0	0	0	0
Stamos	0	1.182213892	0	0	1.861848174	0.148280374	0.087297696
Ch25h	0	0	6.055608748	0	1.304452826	8.707921003	0
Gm29628	0	0	0	0	0	0	0
Gm28397	0	0	0	0	0	0	0
Gm29665	0	0	0	0	0	0	0
Gm21868	0	0	0	0	0	0	0
D830032E09Rik	0	0	0	0	0	0	0
Gm28901	4.080779474	4.878863539	2.918669702	0	4.777013582	3.832985353	4.777968775
Gm29170	1.130628963	1.228411767	2.195636788	0	2.401956135	2.332124254	0.797951924
Olfr1060-ps1	0	0	0	0	0	0	0
Gm5833	0	0	0	0	0	0	0
Cdk5r1	1.690841594	1.338056137	2.5305277	0.22078523	1.200287155	1.330045694	3.503713838
Zfp710	2.306132585	1.411415408	0.828661504	34.40315229	1.41452344	1.436449967	0.223826453
Olfr1215	0.147203652	0	0	0	0	0	0
Chd8	0.713983097	0.63422186	0.736601357	0	0.693403399	0.750175211	0.816822014
Rimkla	3.24498762	9.64800399	5.879469217	0	3.465862227	4.489118785	1.747506706
Gm43771	0	0	0	0	0.797196134	0	0
H2afb1	0	0	0	0	0	0	0
Lipi	0	0	0	0	0	0	0
Rasgrp2	1.313847417	0.431587174	1.621696557	0	1.270569817	1.148335544	0.922713358
Ucp3	0	0	0	0	0	0	0.031556198
Rbm11	2.377124336	1.31127426	0.910060315	0	0.930468624	0.927960436	1.274593554
Chrna1os	4.358082278	5.603217167	0.643305849	0	5.791059944	1.639979352	2.896149116
AV064505	0	0	0	0	0	0	0
Gm11195	0	0	0	0	0	0	0
Gm15563	0	0	0	0	0	0	0.690388572
Gm12108	0	0	0	0	0	0	0
Gm12701	0	0	0.763437927	0	0	0	0
Banf2os	0	0	0	0	0	0	1.304932346
Gm15998	0	0.924103028	2.728206844	0	0	0.115901001	1.381679238
